Fri Jan  7 22:05:01 2022    output.dat

         9052155 function calls (8694985 primitive calls) in 48.670 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      336    0.012    0.000    0.012    0.000 {method 'encode' of 'ImagingEncoder' objects}
    61140    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
     3963    0.011    0.000    0.119    0.000 <__array_function__ internals>:177(sum)
      221    0.011    0.000    0.043    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:304(moveBy)
 1621/506    0.011    0.000    0.490    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\copy.py:227(_deepcopy_dict)
     3256    0.010    0.000    0.010    0.000 {built-in method end}
    20162    0.010    0.000    0.015    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\numeric.py:1391(<listcomp>)
    10372    0.010    0.000    0.010    0.000 {built-in method builtins.sorted}
        4    0.010    0.003    0.010    0.003 {method 'write' of '_io.BytesIO' objects}
     1501    0.010    0.000    0.010    0.000 {built-in method layout}
    12736    0.010    0.000    0.011    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:348(stale_possible_simple_keys)
      506    0.010    0.000    0.388    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\copy.py:201(_deepcopy_list)
    34902    0.010    0.000    0.010    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:88(shape_type)
     3963    0.010    0.000    0.034    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:1223(argmin)
        1    0.010    0.010    0.010    0.010 {built-in method setCurrentItem}
        3    0.010    0.003    0.010    0.003 {method 'join' of 'bytes' objects}
    40640    0.009    0.000    0.009    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:2670(_amax_dispatcher)
    76108    0.009    0.000    0.009    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\copy.py:182(_deepcopy_atomic)
    30238    0.009    0.000    0.009    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     6792    0.009    0.000    0.009    0.000 {built-in method buttons}
     2982    0.009    0.000    1.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:881(overrideCursor)
     2575    0.008    0.000    0.161    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:271(containsPoint)
    44603    0.008    0.000    0.008    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:2795(_amin_dispatcher)
     9749    0.008    0.000    0.008    0.000 {built-in method setWidth}
    10081    0.008    0.000    0.008    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    10081    0.008    0.000    0.177    0.000 <__array_function__ internals>:177(moveaxis)
        1    0.008    0.008    0.356    0.356 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:58(__init__)
      330    0.008    0.000    0.008    0.000 {method 'decode' of 'ImagingDecoder' objects}
     3379    0.008    0.000    0.008    0.000 {built-in method translate}
